,method,seed,k,epoch,train_test,tp,tn,fp,fn
539,original and cof,4,10,270,test,89,85,8,4
540,original and cof,4,10,271,train,2179,2755,294,870
541,original and cof,4,10,271,test,89,85,8,4
542,original and cof,4,10,272,train,2196,2738,311,853
543,original and cof,4,10,272,test,89,85,8,4
544,original and cof,4,10,273,train,2179,2755,294,870
545,original and cof,4,10,273,test,89,85,8,4
546,original and cof,4,10,274,train,2196,2738,311,853
547,original and cof,4,10,274,test,89,85,8,4
548,original and cof,4,10,275,train,2179,2755,294,870
549,original and cof,4,10,275,test,89,85,8,4
550,original and cof,4,10,276,train,2196,2738,311,853
551,original and cof,4,10,276,test,89,85,8,4
552,original and cof,4,10,277,train,2179,2755,294,870
553,original and cof,4,10,277,test,89,85,8,4
554,original and cof,4,10,278,train,2196,2738,311,853
555,original and cof,4,10,278,test,89,85,8,4
556,original and cof,4,10,279,train,2181,2755,294,868
557,original and cof,4,10,279,test,89,85,8,4
558,original and cof,4,10,280,train,2196,2738,311,853
559,original and cof,4,10,280,test,89,85,8,4
560,original and cof,4,10,281,train,2181,2755,294,868
561,original and cof,4,10,281,test,89,85,8,4
562,original and cof,4,10,282,train,2196,2738,311,853
563,original and cof,4,10,282,test,89,85,8,4
564,original and cof,4,10,283,train,2181,2755,294,868
565,original and cof,4,10,283,test,89,85,8,4
566,original and cof,4,10,284,train,2195,2738,311,854
567,original and cof,4,10,284,test,89,85,8,4
568,original and cof,4,10,285,train,2181,2755,294,868
569,original and cof,4,10,285,test,89,85,8,4
570,original and cof,4,10,286,train,2195,2738,311,854
571,original and cof,4,10,286,test,89,85,8,4
